FRAUD,PPSN,SCHEME_CODE,LOCATION_CODE,PAY_TYPE,REG_DATE,START_DATE,BIRTH_DATE,AGE_YEARS,OCC_CODE,MEANS_FROM_EMP,DELAY,WEEKLY_RATE,PAID_TO_DATE,SEX,MARITAL_STATUS,NO_DEP,FUEL_AMOUNT,APPOINTMENT_STATUS,BOOK_NUMBER,CARER_ID,PHOTO_VERIFIED,OPEN_CREDIT_LINES,DRIVING_STATUS,FREE_TRAVEL,EMPLOYER_NO,IBAN,MED_ASSESSMENT,MED_CONDITION_SATISFIED,MORT_OUTSTANDING,PAY_LOCATION_CODE,PREF_LANG,PHONE_NO,PRIORITY_CLAIM
1,3966930M,H1,B3,Supplement,14/02/2011,19/02/2011,24/09/1961,55,SS,17600,26,170,34340,Female,S,2,60,Due,28326,0,1,4,Active,0,58521997,BCDB186119327007,2,0,134723,B3,1,3.54E+11,0
0,8123866N,H1,V1,Urgent,23/08/2010,03/09/2010,21/08/1974,42,SS,30700,15,160,36480,Male,S,4,80,Up-to-Date,29759,0,1,3,Active,1,46316646,DCDD572018826100,3,0,0,V1,1,3.54E+11,0
1,0886102S,H1,S1,Basic,23/03/2010,10/04/2010,29/09/1981,35,S,22400,24,120,29640,Male,S,4,80,Up-to-Date,21033,0,1,5,None,0,37189857,ACBB380450471857,3,0,0,S1,1,3.54E+11,0
0,0817821N,H1,V4,Exceptional,15/05/2011,21/05/2011,16/07/1991,25,M,15700,23,210,39900,Male,M,3,90,Due,35339,0,1,5,Active,0,89234162,AACA079174194866,2,0,170359,V4,1,3.54E+11,0
0,8728434Z,H2,K3,Supplement,22/10/2006,12/11/2006,05/08/1990,26,SS,28600,10,190,81130,Female,D,1,50,Up-to-Date,36303,0,0,6,Active,0,42213033,CADC740552343479,1,1,0,K3,1,3.54E+11,0
0,3672981Y,H2,C5,Basic,24/06/2005,07/07/2005,02/12/1996,20,S,39600,23,90,44640,Female,M,2,80,Up-to-Date,28093,0,1,4,None,1,45585827,CDBC015637309580,1,1,0,C5,1,3.54E+11,0
1,5408620J,H1,F4,Exceptional,23/11/2011,06/12/2011,12/06/1980,36,P,34200,33,60,9840,Male,S,5,90,Missed,36735,0,1,7,None,0,62401534,DCBD205063945942,4,0,0,F4,1,3.54E+11,1
0,8600809C,G1,R1,Basic,08/06/1999,28/06/1999,29/07/1983,33,S,38300,1,100,80900,Female,M,3,90,Up-to-Date,26679,0,0,1,None,0,41911336,CABD602916075218,4,0,0,R1,1,3.54E+11,0
0,6353630C,H1,P1,Urgent,04/05/2001,17/05/2001,02/03/1980,36,S,44200,11,120,85200,Male,D,5,90,Due,15988,0,1,2,None,1,77455081,DADD087672802584,1,0,0,P1,1,3.54E+11,0
0,6872426E,H2,G3,Basic,24/07/2012,08/08/2012,13/01/1988,28,M,12100,1,170,21760,Male,S,3,70,Up-to-Date,39723,0,1,6,None,0,85794618,DBAD953401074324,1,1,0,G3,1,3.54E+11,0
0,0935844D,H1,F1,Exceptional,27/07/2013,10/08/2013,07/03/1978,38,S,41700,8,100,7500,Male,D,2,60,Due,30298,0,0,5,Active,0,31259626,ADCC926825958984,3,0,0,F1,1,3.54E+11,0
1,6296984S,F1,E5,Exceptional,11/12/1996,22/12/1996,22/10/1996,20,M,3600,14,190,178980,Female,S,2,60,Due,20467,0,1,3,Active,1,72633395,ADAB988510730856,3,0,0,E5,1,3.54E+11,0
1,6269548U,F1,H1,Supplement,29/01/2005,08/02/2005,30/01/1982,34,SS,10000,30,170,87720,Female,D,4,80,Up-to-Date,17587,0,1,9,None,0,41879370,ABDA565957725152,2,0,133189,X3,1,3.54E+11,0
0,2192878O,H2,D1,Supplement,25/04/2011,29/04/2011,27/01/1985,31,P,49600,22,80,15440,Female,M,3,90,Up-to-Date,47780,0,1,3,None,1,91948856,DCDB906812038532,1,1,154058,D1,1,3.54E+11,1
0,3088592T,H2,A4,Basic,27/08/2004,10/09/2004,30/12/1986,30,S,40100,22,120,64680,Male,S,3,70,Up-to-Date,37304,0,1,5,None,1,24917539,BACB299574456730,1,1,90458,A4,1,3.54E+11,0
1,0379461M,F1,A1,Basic,25/11/2011,06/12/2011,29/07/1963,53,S,22100,38,120,19680,Female,S,4,80,Up-to-Date,21206,0,1,6,None,0,43936416,ACBB231311523308,3,0,159441,A1,1,3.54E+11,0
0,8407353O,H2,G5,Basic,17/04/2004,29/04/2004,30/08/1978,38,SS,31800,1,130,72410,Female,S,3,70,Up-to-Date,36639,0,0,4,Active,0,52411392,DCCA786061345378,1,1,186045,W5,1,3.54E+11,0
0,2078393X,F1,U4,Exceptional,04/08/2009,09/08/2009,22/12/1983,33,M,19100,22,190,53960,Male,S,2,60,Due,29118,0,1,6,Active,0,13774830,BBAC614441075901,2,0,160298,U4,1,3.54E+11,0
1,0244051A,F1,A3,Supplement,30/05/2009,08/06/2009,29/10/1976,40,S,26900,41,120,35040,Male,D,2,60,Up-to-Date,16215,0,1,5,None,0,22181408,DABD368664512430,3,0,0,A3,1,3.54E+11,0
1,1134133L,F1,V3,Basic,04/04/2011,13/04/2011,20/07/1987,29,SS,3000,32,170,33150,Male,D,1,50,Up-to-Date,25871,0,0,6,Active,1,79573675,DDAD918993888688,3,0,0,V3,1,3.54E+11,0
1,9640831X,H1,I3,Basic,17/02/1999,19/02/1999,25/05/1973,43,S,29700,25,120,99120,Male,S,6,100,Due,27895,0,0,4,Active,0,59796676,CCCB446780166814,4,0,178994,I1,1,3.54E+11,0
0,7101590A,G1,X2,Urgent,05/03/2009,23/03/2009,21/06/1967,49,M,26700,8,170,51340,Female,M,1,70,Due,16077,0,1,0,None,0,76221833,DCAC875574513012,2,0,0,X2,1,3.54E+11,0
0,7649038Y,G1,X4,Exceptional,12/03/2009,27/03/2009,20/01/1996,20,SS,30000,20,170,51170,Male,D,1,50,Missed,30203,0,1,6,Active,0,39281850,CABB009328041893,4,1,0,X4,1,3.54E+11,0
1,4885803H,H1,X1,Supplement,16/11/2008,04/12/2008,23/11/1995,21,S,25000,30,120,38400,Male,S,3,70,Up-to-Date,43551,0,0,7,Active,0,95320038,AACB716050627043,4,0,0,X1,1,3.54E+11,0
0,9218087U,F1,M2,Basic,02/11/2010,15/11/2010,02/03/1990,26,SS,36100,8,190,41610,Female,D,6,100,Up-to-Date,19891,0,0,3,Active,1,57903251,CBDD327712046859,4,0,0,M2,1,3.54E+11,0
0,7968302D,F1,B5,Supplement,07/05/2009,26/05/2009,15/05/1984,32,SS,29300,16,140,41020,Female,S,4,80,Due,27332,0,1,5,None,0,53978387,ADBD436687335130,3,0,0,B5,1,3.54E+11,0
1,0831180K,F1,D4,Basic,01/01/2010,09/01/2010,30/04/1971,45,M,3500,18,160,41600,Male,D,4,80,Up-to-Date,36021,0,0,5,Active,0,51475765,ABBB397447359112,1,0,0,D4,1,3.54E+11,0
1,7819942I,F1,S5,Basic,03/04/2007,05/04/2007,21/09/1971,45,M,4000,24,220,88880,Male,S,4,80,Up-to-Date,17694,0,0,10,Active,0,86569892,DBAD138206486879,1,0,0,S5,1,3.54E+11,0
1,8099528W,F1,R3,Basic,06/06/2011,26/06/2011,26/04/1995,21,S,13000,39,80,14800,Female,D,6,100,Due,17643,0,1,5,Active,1,85271157,AAAC249095955456,2,0,206988,R3,1,3.54E+11,0
1,1142129A,H1,C5,Basic,27/02/2006,12/03/2006,22/11/1988,28,S,17600,39,120,55080,Male,D,3,70,Up-to-Date,10836,0,1,3,None,0,28833371,DCCC800608139218,3,0,0,C5,1,3.54E+11,0
0,8850408D,H2,N1,Basic,24/10/2005,30/10/2005,30/10/1991,25,S,38600,8,100,48100,Male,M,3,90,Due,21390,0,1,5,Active,1,70673564,DABA431639958826,1,1,0,N1,1,3.54E+11,0
0,3294428O,H1,A1,Urgent,28/07/2002,17/08/2002,23/07/1963,53,M,9700,7,150,96900,Male,S,1,50,Due,11631,0,1,7,Active,0,75068310,ACBC870135962571,1,0,145381,A1,1,3.54E+11,0
1,4842061S,F1,A3,Supplement,25/12/2009,30/12/2009,21/03/1985,31,S,19800,31,90,23850,Male,D,5,90,Due,10686,0,0,2,Active,1,93172604,CCAD179673062005,3,0,156255,A3,1,3.54E+11,0
0,9550944Q,H1,Q4,Basic,22/03/2004,07/04/2004,26/02/1974,42,SS,35200,17,150,84000,Male,M,0,60,Missed,23740,0,1,5,Active,0,54527880,ABAB721614109161,2,0,140754,Q4,1,3.54E+11,0
1,9863777V,F1,I5,Basic,10/07/2010,22/07/2010,12/03/1996,20,S,32700,31,120,28080,Male,S,4,80,Missed,15367,36817,1,5,Active,1,62881938,DACD090390003677,3,0,0,I5,1,3.54E+11,0
1,5143768U,F1,W3,Basic,02/04/2001,10/04/2001,17/03/1997,19,S,24400,35,80,57200,Male,S,4,80,Missed,23297,0,1,5,Active,0,43837941,CADB416743069626,3,0,159761,W3,1,3.54E+11,1
1,5280603X,F1,R5,Basic,18/03/2010,31/03/2010,21/05/1966,50,S,22600,25,120,29760,Female,S,4,80,Up-to-Date,28903,0,1,4,Active,0,87707888,CAAA699463387295,1,0,0,R5,1,3.54E+11,0
0,5521030W,H2,F4,Exceptional,12/03/2010,14/03/2010,07/03/1949,67,SS,28100,13,150,37650,Female,M,4,100,Up-to-Date,31113,0,0,8,None,1,76110639,DACB237667587619,1,1,0,E1,1,3.54E+11,0
0,5918791F,F1,H4,Supplement,08/11/2011,16/11/2011,06/07/1969,47,SS,36600,22,170,28390,Female,D,3,70,Due,24924,0,1,3,None,0,17853193,CCCD346252239925,3,0,151947,H4,1,3.54E+11,0
1,9258007B,F1,P5,Basic,12/08/2012,01/09/2012,11/07/1998,18,M,10400,22,180,22500,Female,D,5,90,Missed,18257,0,1,4,None,0,56100093,AABA182617292530,4,0,0,P5,1,3.54E+11,0
1,0272733C,F1,F5,Basic,01/03/2010,12/03/2010,09/02/1988,28,M,16400,43,190,47690,Male,D,5,90,Missed,30199,0,0,6,Active,0,21275636,CCBA110863221917,3,0,107085,F5,1,3.54E+11,0
1,9459508L,F1,N3,Basic,21/07/2008,06/08/2008,03/03/1967,49,SS,7300,26,150,50400,Female,S,3,70,Due,28478,0,0,3,None,1,12918634,ADDD598552877536,2,0,189354,N3,1,3.54E+11,0
1,1651378O,H1,T5,Basic,19/08/2004,01/09/2004,11/11/1964,52,SS,9800,35,190,102790,Male,D,5,90,Due,41328,0,1,6,Active,1,38380613,BACC165771141866,2,0,0,T5,1,3.54E+11,0
1,0776093R,F1,Z2,Exceptional,14/05/2008,17/05/2008,29/03/1995,21,SS,15600,30,150,51900,Female,S,2,60,Up-to-Date,22424,0,1,2,Active,1,84454200,BCAA332541383154,2,0,0,Z2,1,3.54E+11,0
1,1096786L,F1,J1,Basic,16/08/2009,24/08/2009,03/01/1953,64,SS,12300,33,160,44960,Female,D,6,100,Up-to-Date,14504,0,1,4,Active,0,60583997,BBAD092522886133,2,0,0,J1,1,3.54E+11,0
0,5971281Z,F1,U5,Exceptional,13/11/2000,17/11/2000,08/05/1963,53,SS,33000,9,170,125460,Male,D,2,60,Up-to-Date,12893,0,1,5,None,1,2915063,DDDB275692212774,2,1,102625,U5,1,3.54E+11,0
1,6292355R,F1,C1,Basic,23/06/1999,10/07/1999,16/01/1979,37,P,28500,43,90,72630,Female,S,6,100,Up-to-Date,34078,0,0,6,Active,0,55624604,ACCD401772899333,4,0,0,C1,1,3.54E+11,0
0,1846544J,H2,H2,Supplement,22/02/2008,07/03/2008,27/01/1981,35,M,23000,19,200,71200,Female,M,3,90,Missed,27568,0,1,7,Suspended,0,81869662,ABAC361676724977,1,1,0,H2,1,3.54E+11,0
1,8121872J,F1,M4,Basic,13/01/2008,15/01/2008,10/08/1955,61,SS,10600,16,130,47190,Male,M,3,90,Due,42040,0,1,7,Active,0,4982559,CADB846350446441,2,0,133585,V3,1,3.54E+11,0
1,5693583S,H1,T5,Basic,25/05/2011,04/06/2011,16/02/1984,32,SS,12200,30,170,31960,Female,D,5,90,Up-to-Date,21038,0,1,6,None,0,38487563,BADD698876839990,2,0,0,Z2,1,3.54E+11,0
1,9737637Q,F1,H2,Basic,25/11/2008,15/12/2008,08/05/1972,44,M,2100,22,220,70180,Female,S,4,80,Up-to-Date,37751,0,1,7,Active,1,19544295,CDDA959835182431,4,0,128124,H2,1,3.54E+11,0
1,5817754O,F1,S1,Basic,21/02/2008,04/03/2008,29/08/1979,37,SS,10800,15,160,56960,Male,S,3,70,Due,37525,0,1,6,Active,0,56422390,DBBA494049426349,2,0,156506,S1,1,3.54E+11,0
1,7696230B,H1,I1,Basic,14/03/2012,19/03/2012,17/05/1966,50,M,4500,24,200,29200,Male,S,5,90,Due,38045,0,1,7,Suspended,1,35082723,CBDA867037691182,2,0,0,I1,1,3.54E+11,0
1,5575739D,H2,N3,Basic,28/01/2006,06/02/2006,17/05/1976,40,P,27500,30,90,41760,Male,M,4,100,Up-to-Date,11235,0,1,5,Active,0,91370749,CBDA389613938815,1,1,0,N3,1,3.54E+11,0
1,0119145Z,F1,R1,Supplement,16/10/2010,20/10/2010,09/05/1974,42,SS,14400,50,140,31080,Male,S,7,110,Up-to-Date,22477,0,0,6,Active,0,96143209,AAAA080879195849,2,0,0,R1,1,3.54E+11,0
1,4352448X,H1,S2,Supplement,19/12/2009,25/12/2009,27/03/1990,26,M,2900,25,200,53000,Male,D,4,80,Up-to-Date,10842,0,1,7,Suspended,0,89765154,BCDA600572423093,2,1,0,S2,1,3.54E+11,0
1,9261096V,F1,S3,Supplement,01/10/2000,06/10/2000,28/05/1976,40,S,14400,18,110,81840,Female,S,3,70,Up-to-Date,46140,0,1,3,None,0,84898313,BDCD834974553274,2,0,107456,S3,1,3.54E+11,0
0,8379266G,H2,G4,Supplement,16/12/2004,23/12/2004,12/02/1966,50,SS,33600,21,170,89420,Female,D,3,70,Due,48408,0,0,6,None,0,59355597,ABAD601758728637,1,0,165993,G4,1,3.54E+11,0
1,8686583G,F1,X1,Basic,07/02/2012,22/02/2012,11/04/1994,22,SS,3300,36,180,27000,Female,D,2,60,Missed,23050,0,1,6,None,0,21135010,CDAD456657352788,4,0,0,X1,1,3.54E+11,0
0,5275026D,G1,S1,Urgent,03/03/2009,22/03/2009,06/11/1992,24,SS,32600,36,170,51340,Female,D,3,70,Up-to-Date,23056,0,1,8,Active,0,23321480,BBBC491521622077,2,0,0,S1,1,3.54E+11,0
1,0661260A,H1,A3,Supplement,17/06/2003,01/07/2003,28/07/1998,18,SS,14700,21,160,96160,Female,S,3,70,Up-to-Date,19525,0,1,4,None,1,44563011,DCDB483128892865,1,0,141635,A3,2,3.54E+11,0
0,4595791W,F1,P4,Exceptional,19/03/2000,23/03/2000,26/01/1982,34,SS,35000,31,140,107800,Male,M,4,100,Due,18704,0,1,4,Active,0,68854781,BCCB496124188704,2,0,0,P4,1,3.54E+11,0
1,0255526K,F1,I1,Basic,28/07/2005,14/08/2005,12/06/1978,38,SS,13400,22,190,93290,Male,D,5,90,Up-to-Date,25539,0,1,6,None,0,3465712,ACAB491834230409,3,0,0,I1,1,3.54E+11,0
1,0178285Q,F1,I4,Basic,25/06/2012,05/07/2012,19/08/1968,48,M,2900,25,170,22440,Female,D,2,60,Up-to-Date,35103,0,1,3,Active,0,95215920,BACC508620282443,2,0,222591,I4,1,3.54E+11,0
1,7637543M,F1,K5,Basic,17/01/2004,23/01/2004,12/11/1960,56,SS,17900,26,140,79800,Male,S,2,60,Missed,36420,0,0,8,Active,0,81450981,DDBB236180914368,2,0,129027,K5,1,3.54E+11,0
1,9126437T,H1,Q5,Basic,12/03/2000,28/03/2000,10/04/1979,37,S,25600,12,90,69210,Female,S,3,70,Up-to-Date,20328,0,0,5,Active,0,32156707,CDBD356967271675,2,0,0,Q5,1,3.54E+11,0
1,7018547I,F1,E1,Basic,14/05/2012,02/06/2012,30/11/1996,20,M,500,27,170,23290,Male,D,3,70,Up-to-Date,48944,0,0,2,Active,0,30027167,CDAC123011477098,2,0,0,E1,1,3.54E+11,0
1,4765767I,H1,N5,Basic,10/12/2007,13/12/2007,07/05/1976,40,S,24100,44,120,44520,Male,S,5,90,Missed,32725,0,1,5,Suspended,1,77035277,DAAD454067684194,3,0,180190,N5,1,3.54E+11,0
0,8559259O,F1,X4,Urgent,24/04/2007,02/05/2007,11/12/1977,39,S,41800,7,90,36090,Male,S,1,50,Missed,22995,0,1,6,Active,1,27574019,BAAD644745593672,1,1,0,X4,1,3.54E+11,1
0,6678183X,F1,K4,Supplement,13/02/2012,15/02/2012,06/11/1978,38,M,13000,21,220,33220,Male,M,3,90,Missed,37755,0,0,9,Active,0,42467526,ABBD122026092213,4,0,0,R3,1,3.54E+11,0
1,3365362S,H1,S2,Basic,18/10/2011,19/10/2011,22/02/1998,18,M,5400,16,210,35700,Female,M,3,90,Due,41607,0,1,4,None,0,20303853,BACC185470989096,4,0,0,S2,1,3.54E+11,0
0,7536763Z,H1,Q5,Urgent,20/10/2010,02/11/2010,18/06/1960,56,SS,36400,3,180,39780,Female,S,1,50,Due,12190,0,0,3,Active,0,74169357,AACD284230638526,2,1,127610,Q5,1,3.54E+11,0
1,3783996V,F1,K4,Basic,17/04/2006,03/05/2006,27/04/1971,45,S,25500,37,120,54240,Male,S,4,80,Missed,22504,31372,0,6,Active,1,77937774,DBAD582300761594,1,0,0,K4,1,3.54E+11,0
0,9439335U,G1,H3,Supplement,31/10/2013,13/11/2013,20/12/1986,30,S,43800,22,120,7560,Female,S,2,60,Due,16612,0,1,7,None,1,14520788,CCCA600339261603,2,0,0,H3,1,3.54E+11,0
0,1195952K,F1,P2,Urgent,02/02/2011,07/02/2011,17/05/1989,27,SS,32100,3,130,26520,Female,M,1,70,Missed,34610,0,1,2,None,0,39730504,BBCA950960525364,1,0,160629,P2,1,3.54E+11,0
1,5505012X,F1,M3,Exceptional,12/11/1999,18/11/1999,25/10/1956,60,M,6600,31,200,158000,Male,S,6,100,Due,47158,0,0,2,Active,1,70072260,ABBD943203375103,1,0,197591,M3,1,3.54E+11,0
1,1828620L,F1,I4,Basic,19/09/2000,04/10/2000,01/05/1961,55,S,16900,19,90,66960,Female,S,3,70,Up-to-Date,35351,21823,1,4,Active,1,99886540,ABAC349750845250,2,0,0,I4,1,3.54E+11,0
1,0456888T,H1,V3,Basic,08/03/2013,15/03/2013,04/07/1996,20,S,24300,23,110,10450,Male,D,4,80,Missed,35298,0,1,6,Active,0,97913132,DDCA895332601599,2,0,138006,V3,1,3.54E+11,0
1,8805436T,F1,L3,Supplement,27/09/2012,05/10/2012,19/04/1977,39,SS,7800,32,170,20400,Female,D,4,80,Due,23039,0,1,3,Active,0,80497922,ACBA930600397062,2,0,0,L3,1,3.54E+11,0
1,0182431F,H1,Q5,Basic,05/10/2009,19/10/2009,31/08/1977,39,S,23100,27,100,27400,Male,D,6,100,Due,29081,0,1,5,Active,0,66905687,AAAB109040882998,3,0,140026,Q5,1,3.54E+11,0
1,2948718W,H2,F4,Basic,12/12/2003,20/12/2003,21/07/1995,21,M,10400,25,170,98260,Female,S,2,60,Up-to-Date,31090,0,0,8,Active,0,51354719,ACAC581941481216,1,0,181935,F4,1,3.54E+11,0
0,4057300H,F1,V3,Supplement,19/11/2009,21/11/2009,09/02/1973,43,SS,29000,20,140,37800,Male,S,3,70,Missed,48304,0,1,4,Active,1,24651322,ADDD600375611140,2,0,0,V3,1,3.54E+11,1
1,6588206E,F1,P2,Supplement,02/02/2008,16/02/2008,15/06/1977,39,M,18600,30,210,75390,Male,S,8,120,Up-to-Date,10286,0,0,2,None,0,23986963,BBAA883032124168,3,0,166546,P2,1,3.54E+11,0
1,7613628I,F1,I1,Basic,07/05/2011,18/05/2011,22/09/1967,49,SS,18000,32,200,38000,Female,M,5,110,Due,49839,15580,1,2,Active,1,82586379,CDDD281928524758,4,0,126301,I1,1,3.54E+11,0
0,7920076D,H2,D5,Basic,24/03/2006,08/04/2006,19/06/1969,47,M,27400,4,210,95760,Female,M,3,90,Up-to-Date,20878,0,1,7,Active,0,39774703,ACCA582534386215,1,1,0,D5,1,3.54E+11,1
0,6285523Z,H2,R3,Supplement,23/02/2012,02/03/2012,28/11/1986,30,M,18800,18,150,22350,Female,S,4,80,Up-to-Date,22063,35417,1,2,Active,1,23697916,CDBC446889121634,1,1,161531,R3,1,3.54E+11,0
1,2720171M,F1,A3,Basic,12/09/2013,30/09/2013,29/10/1983,33,M,3800,35,170,11730,Male,M,5,110,Due,27373,0,1,6,Active,1,22924375,CACD472896238101,3,0,0,A3,1,3.54E+11,0
0,4707124O,H2,S4,Exceptional,29/05/2005,12/06/2005,18/08/1984,32,SS,33200,13,190,94810,Male,M,4,100,Up-to-Date,25902,0,0,7,Active,0,17631862,DACC887958314938,1,1,0,S4,1,3.54E+11,0
0,8344489B,F1,W1,Supplement,27/01/1999,01/02/1999,24/10/1994,22,M,17300,16,170,140930,Female,M,4,100,Due,38300,0,1,3,Active,0,87103104,DDAA721812779199,1,0,163528,W1,1,3.54E+11,0
0,5681877C,H2,Q2,Basic,27/03/2011,16/04/2011,10/11/1963,53,SS,32500,23,180,35100,Female,M,1,70,Missed,24579,0,1,3,Active,0,41702644,DDAA994995504122,1,1,0,Q2,2,3.54E+11,0
1,3836252Y,H2,D3,Basic,15/08/2009,16/08/2009,08/06/1987,29,SS,13700,27,150,42450,Female,S,5,90,Up-to-Date,42708,41117,0,4,None,1,55792348,CDDD497677987158,1,1,110817,J3,1,3.54E+11,0
0,2860674T,H1,X5,Basic,05/12/2009,26/12/2009,31/05/1989,27,SS,32600,14,150,39750,Male,D,3,70,Due,21734,0,1,4,Active,1,95246778,ADDD645869989538,4,0,134231,X5,1,3.54E+11,0
0,1545164M,F1,Y4,Basic,19/03/2009,21/03/2009,26/11/1953,63,S,37200,16,110,33220,Female,M,2,80,Due,25672,0,1,5,Suspended,0,28571643,ACCD212760266741,4,0,132781,Y4,1,3.54E+11,0
0,6750325N,F1,A5,Exceptional,10/01/2007,16/01/2007,28/08/1985,31,SS,32300,19,190,78850,Female,D,3,70,Up-to-Date,12961,40234,1,4,Suspended,1,64580879,BDCB504468390372,3,0,0,A5,1,3.54E+11,0
0,2112957W,H1,T2,Basic,19/09/2002,27/09/2002,12/03/1977,39,M,21300,24,220,141020,Male,D,2,60,Up-to-Date,15572,44109,0,5,Active,1,88395417,BCBB086835110757,1,0,99195,T2,1,3.54E+11,0
0,1644602Q,F1,C2,Basic,01/10/2002,22/10/2002,03/11/1962,54,M,23800,18,180,114840,Male,D,3,70,Up-to-Date,38387,0,1,5,Active,0,99156434,DABC858980759317,3,0,135862,C2,1,3.54E+11,0
0,5184255XM,G1,O1,Basic,17/08/2013,28/08/2013,19/03/1973,43,M,13400,26,220,16060,Male,S,4,80,Up-to-Date,21839,0,1,3,Active,0,46741010,BACB798511551424,2,0,99454,O1,1,3.54E+11,0
1,7955165C,F1,R5,Basic,17/09/1999,05/10/1999,02/10/1989,27,SS,21600,28,130,103480,Male,S,4,80,Due,44673,0,1,4,Active,0,5559985,BBCA359855270717,3,0,0,R5,1,3.54E+11,0
0,8118373F,H1,E4,Basic,27/06/2012,04/07/2012,17/02/1972,44,M,27000,16,220,29040,Male,M,3,90,Up-to-Date,14098,0,1,5,Active,0,80599489,ACAB900220420199,2,0,0,E4,1,3.54E+11,0
1,0774935W,F1,F5,Basic,13/09/2009,03/10/2009,10/06/1975,41,SS,14900,37,190,52440,Female,D,4,80,Due,48888,0,1,6,None,0,9451309,DDAD306967693350,4,0,0,F5,1,3.54E+11,0
